gene,gene_ensembl_id,gene_full_name,baseMean,avg_log2FC,lfcSE,stat,p_val,p_val_adj,mean_counts_group1,mean_counts_group2,CHR,Significance
1500035N22Rik,ENSMUSG00000059631,RIKEN cDNA 1500035N22 gene,806.06096854874,0.15619639774000299,0.232944910058176,0.670529344045313,0.50252040682564802,0.81784305083167297,849.680728528846,762.441208568634,5,Not Significant
1600002D24Rik,ENSMUSG00000117232,RIKEN cDNA 1600002D24 gene,47.625786077864,-0.13530197749060699,0.343503527495448,-0.393888174823473,0.69366360122476101,0.91008785657408198,45.0136225783759,50.237949577352,16,Not Significant
1600010M07Rik,ENSMUSG00000101585,RIKEN cDNA 1600010M07 gene,5084.85485675681,-0.20602578554557399,0.211547043267662,-0.973900567756449,0.330105911818941,0.70411821353401505,4722.71163299881,5446.9980805148,7,Not Significant
1600012H06Rik,ENSMUSG00000050088,RIKEN cDNA 1600012H06 gene,1087.22399378426,-7.8456616095468404E-2,0.173998107760613,-0.450904996067021,0.65205802255580003,0.89232076790258297,1058.02894713499,1116.41904043352,17,Not Significant
1600014C10Rik,ENSMUSG00000054676,RIKEN cDNA 1600014C10 gene,380.214101712898,-7.7907533557963699E-3,0.173323108137802,-0.0449493056032799,0.96414771634510199,0.99244941357282501,378.450394396715,381.97780902908,7,Not Significant
1600020E01Rik,ENSMUSG00000097048,RIKEN cDNA 1600020E01 gene,1648.44406522112,-4.5602359487792399E-2,0.153100058999336,-0.297859842679684,0.76581013839589396,0.93486098933582995,1622.79555155788,1674.09257888436,6,Not Significant
1600022D10Rik,ENSMUSG00000117315,RIKEN cDNA 1600022D10 gene,40.155641555229,2.5015877246209002E-3,0.418925112191566,0.00597144370633235,0.99523550557653195,0.99923655040946202,40.4979145145561,39.813368595902,17,Not Significant
1700001D01Rik,ENSMUSG00000099419,RIKEN cDNA 1700001D01 gene,54.9370436806583,-0.68658106095437899,0.423369241052762,-1.62170747040363,0.104865998513006,0.43140835346481698,42.7567065376464,67.1173808236702,8,Not Significant
1700001G11Rik,ENSMUSG00000085984,RIKEN cDNA 1700001G11 gene,147.798791044049,0.33245314359566602,0.300122975251478,1.10772307024178,0.26798143277750902,0.65225621786340504,164.492572966967,131.10500912113,14,Not Significant
1700001J03Rik,ENSMUSG00000095040,RIKEN cDNA 1700001J03 gene,11.4715216418498,0.26193913719358702,0.701440830766076,0.373430125114774,0.70882834185267096,,12.5461073746402,10.3969359090594,5,Not Significant
1700001K19Rik,ENSMUSG00000056508,RIKEN cDNA 1700001K19 gene,456.008765651824,-6.6680801910760798E-2,0.173998494814484,-0.383226314583097,0.70155196844019996,0.91230063289207597,445.903292244623,466.114239059025,12,Not Significant
1700001K23Rik,ENSMUSG00000118314,RIKEN cDNA 1700001K23 gene,105.469950323066,-1.26224578081873,0.297882292660421,-4.23739783102065,2.26125261324264e-05,2.0046836479045899E-3,62.3084495576391,148.631451088492,19,Significantly Down
1700001L05Rik,ENSMUSG00000075511,RIKEN cDNA 1700001L05 gene,28.2599162078718,0.15244597154217299,0.399941130652499,0.381171027079559,0.70307634624145099,0.91296052848130504,29.7591213398619,26.7607110758817,15,Not Significant
1700001O22Rik,ENSMUSG00000044320,RIKEN cDNA 1700001O22 gene,54.6073164691334,0.71269870009047198,0.365634290695827,1.9492118716058,5.1270127813745701E-2,0.30363243131801598,67.789656722202,41.4249762160649,2,Not Significant
1700003D09Rik,ENSMUSG00000085944,RIKEN cDNA 1700003D09 gene,854.115281099987,-0.46090514566149698,0.176848236758415,-2.60621849620769,9.1548041555335104E-3,0.11544410979136099,718.489452813562,989.741109386411,11,Not Significant
